text_akhir,polarity
coba spill jokes cowok lucu dengar,positive
fitur diilangin anjimmmmmm,positive
spill isi direct message artis favorit cringe dipikirpikir ill go first,negative
beliau paham paham,positive
cekikik wkkwkwk coba gess tunjukun chat adik,positive
tolong kecil gb instagram,negative
selamat malam firda ruwet,positive
brainrot indonesia brainrot italia,positive
ih senang calon suami tuju veksetomi,positive
kesal selang menit tidur masul akal call duakali banget,positive
kesal cerita direpost ditag lagu asa kesana izinin pakai,positive
drop meme tertawa hwhhehhehehe,positive
rebu gas roti es krim jual,negative
pikir pas coba garis,positive
cowok suka teknik,negative
turut wajar anak kelas bikin makalah kaget kesal lihat,negative
hati hati pasang suami istri hubung mending normal normal takut talak xixi,negative
kurir bi laik,negative
spill chat lucu toksik egkpp,positive
watashi proses diet but my ibuk everyday masak if watashi mangan masakan my ibuk become sad solusi yorobun suwun,positive
roblox main roblox suka main map saran seru,positive
eh numbuh daon bawang iseng naro toples seru anjir,negative
gengs asa perempuan hamil wajah glowing istri cantik semenjak hamil,negative
digiin orangtua,positive
damn diam,negative
layout sec acc instagram bionya highlightnyaa referensi xiexie,positive
,positive
mati,negative
kumpul bayi vintage suka ngemilin cerelac by the way suka,positive
karyawan direct message hapus,positive
cewek strict parents umur kepala main teman tugas nongkrong jarang,positive
main qrt yuk biar anggur,negative
pacar bilang cinta,positive
umur,positive
sambung flo handphonenya biar tracking haid prepare heatpad obat byebye fever kadang demam ajak makan daging reduce the pain sakit haid,negative
suka,positive
screenshoot chat gemas pacar gemas,positive
cowok bilang hubung tahun mantan batas kissng sx percaya butuh validasi tahun ciyuman tahan,negative
perempuan uang kakak bokek cod anjir ratus,negative
hidup bawa pusing bro bawa buset dewe,negative
ajar bahasa bencong,negative
teman nikah main plisss takut anggur main ngebaso suami tolonggg,negative
fase notifikasi biar bosan tonton film cari sibuk bosan saran,negative
pas nikah suami solot uang tengkar belikan iphone pro biar uang tracker app,negative
tolong yakin spotify premium worth to buy still do not know the benefits of this iklan terima kasih,positive
pamer chat pacar hihi baca lucu lucu,positive
gebrak main bumble copypaste mana tulus hati,positive
tonton film bioskop selesai film pas salim staf pintu,positive
cewek tiktok alami,negative
minum vitamin sengaruh minggu minum rambut rontok kurang buangettt begadang bangun subuh hidup alarm yeayy happy,negative
batuk banjir ganti posisi banjir kentut banjir women,negative
kadang suka sedih suka enak,positive
gagal pindah on budget juta senang senang biar sedih investasi dana darurat etc pure have fun haram,negative
in this ekonomi langgan app prem,positive
beli smartwatch oren official aman harga lumayan,positive
main qrt patah hati jatuh cinta yuk lesgaurrr,positive
in this ekonomi spill resep es kopi susu andal,positive
in this ekonomi beli pikir,negative
sial,negative
pribadi tenang mudah,positive
bjir uang kalah malay kalah malay,negative
lucu pacar pacar,negative
puji pasang puji perempuan lakilaki puji,positive
jujur pasang tua ceraibroken home,positive
main qrt yuk biar anggur,negative
nama jajan pasar kayak lemper luar kasih telur dalam ayam enakkkk habis nama,positive
kred t motor gaji pas juta bulan by the way sandang pangan papan orangtua filano pertimbangin warna pas,positive
sakit kepala,negative
pamer hasil kamera handphone ip xr gopix plus minus budget handphone bolew,negative
oke guic choi san hubung xixixi awch maloe gituch dispatch tolonk ciduk,positive
bjir cerita nikah lamar bejir meanwhile umur dikenalin kenapasih dewasa meni,positive
coretax registrasi akun wajib pajak foto email nomor handphonenya dijelasin sesuai coba nomor handphone email,positive
gaiss terima anggur tahun senang kirim email jam jam interview terima sangka proses cepat doa moga kerja lancar,positive
skupi susah nanjak review skupi beli nenek daerah gunung,negative
sakit urus suami bare minimum tahun hidup ayah peran kadang pikir laku,negative
sebut sepele marah first bangun ajak bicara,negative
ngejual mana hadiah bos jual juta up,positive
girls only spa tolong kasih do amp don thread starter lepas dalam,positive
rasa,negative
coba spill twit akun priv,positive
panggil guna ip tolng yakinin bagi alam handphone worth tahun kamera drop hasil kamera for your information media sosial ambil,negative
laku malas ibadah biar terus,negative
untung tim sambal buat saos cap telapak kaki,negative
ngekos bareng teman guyss jujur bingung,positive
tahun hidup kisah asmara hilal woi romansa orangorang tonton main,negative
cewek kotor ireng cuci sendal asa urat,negative
guna ip hari ngecas handphone ip berapaa terimakasihh jawabb,positive
clear data wangsaf diapus aga kaget pas kg,positive
menang dengar lagu nadi rasa,positive
tengkar htsan,negative
ayo main qrt random mbti,positive
ladies jujur cowok dekat maaf cenderung pendek,negative
nikah humor beda ngeres pikir jir nikah suka shock dengar percakapanselera humor teman nikah umbar pikir ngeres jadi cerita,negative
saran game main online offline seru terima kasih,positive
teman ngereach outngechat ngechat ngechat dibutuhin lt,positive
cewek angkat galon buang air pasang,positive
takut wajar gasikujual baju preloved try on,negative
nanyaa film pb gula sisa uncut kirakira periksa kartu tanda duduk tonton under no salty plss iya nontonn tunggu merah,negative
thunan alih toilet jongkok capai jongkok edannnn toilet jongkok keren,negative
avoidant dia,negative
chat gpt nama,positive
alas hidup tolong kasih alas biar hidup capai hidup serba salah ekpestasi,negative
cewek tiktok bahak,positive
pasifagresifnya bilang aku relatable factcaronquiz site,positive
rekomendasi handphone juta worth it ngegame media sosial kamera bikin kulit putih tan skin,positive
tata hati pandai tebak bot lihai iya gess ngenalinnya jidat tulis lekong suka lenong plss suhu bantu,negative
kuliah collage pas sidang ditanyain guyss,positive
curhat chatgpt seheartwarming cocok ngejalanin life after break up,negative
lancar bahasa inggris biar lancar bicara baca paham terjemah ajar otodidak kadang suka ngangong ngangong ditekunin ajar fasih butuh waktu kasih tips,positive
habis kasih emis buru comot uang tolong kasih petuah biar ikhlas tau pas cek dompet,negative
menfess,positive
biar rambut halus jatuh rambut kembang kering tolong rekomendasi produk affordable,positive
april,positive
spongebob truk sahabat bromance,positive
teman kantor julid wih ganti handphone malu duit,negative
ayah teknik barang sisa kerja blio suka bikin kantor bawa pulang,negative
gusi ajak tunang pacar,positive
kangen teman dulunya akrab akrab,positive
chattan teman suka main drama,negative
kemarin sore bicara jumbo termos malemnya bicara jumbo film maybe we got lost in translation bun,negative
