"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1912629600594567277","Wed Apr 16 22:10:06 +0000 2025","327"," kata karyawan X dm mau di hapus guys. gimna menurut kalean?? https://t.co/GtR82Vu3HQ","1912629600594567277","https://pbs.twimg.com/media/GosGfFmXQAEwGo9.png","","in","","383","163","21","https://x.com/convomf/status/1912629600594567277","1314975287294083073","convomf"
"1912431043677941846","Wed Apr 16 09:01:06 +0000 2025","4115"," Gengs ini cuma perasaanku atau memang perempuan kalau lagi hamil wajahnya glowing ya? Istriku jadi tambah cantik semenjak hamil.","1912431043677941846","","","in","","113","186","136","https://x.com/convomf/status/1912431043677941846","1314975287294083073","convomf"
"1912574464107458653","Wed Apr 16 18:31:00 +0000 2025","630"," ini beneran kita kerja sampe mati ya? ","1912574464107458653","","","in","","101","218","142","https://x.com/convomf/status/1912574464107458653","1314975287294083073","convomf"
"1912785355583172866","Thu Apr 17 08:29:01 +0000 2025","104"," main qrt yuk biar gak gabut","1912785355583172866","","","in","","3","184","2","https://x.com/convomf/status/1912785355583172866","1314975287294083073","convomf"
"1912045780325511534","Tue Apr 15 07:30:12 +0000 2025","28012"," CW // TIKTOK ada yg pernah ngalamin ini ga? sender pernah https://t.co/5UJUABgHNe","1912045780325511534","https://pbs.twimg.com/media/GojzgP3XwAAAJWV.jpg","","in","","1123","997","1598","https://x.com/convomf/status/1912045780325511534","1314975287294083073","convomf"
"1912447159317733885","Wed Apr 16 10:05:08 +0000 2025","3490"," EH MASA NUMBUH LAGI DONG DAON BAWANG GUA! PADAHAL ISENG DOANG NARO DI TOPLES. APALAGI YA YG BISA KEK GINI? SERU BANGET ANJAY! https://t.co/DZ2fScr5RU","1912447159317733885","https://pbs.twimg.com/media/GopgjnoXcAAUT-o.jpg","","in","","46","88","122","https://x.com/convomf/status/1912447159317733885","1314975287294083073","convomf"
"1912711393909809289","Thu Apr 17 03:35:07 +0000 2025","578"," kurir gw bi laik https://t.co/8KUxMqRduf","1912711393909809289","https://pbs.twimg.com/media/GotQ4FUXkAAviQR.jpg","","in","","14","17","21","https://x.com/convomf/status/1912711393909809289","1314975287294083073","convomf"
"1912386978542387555","Wed Apr 16 06:06:00 +0000 2025","549"," in men with glasses we trust trust issues","1912386978542387555","","","en","","108","85","133","https://x.com/convomf/status/1912386978542387555","1314975287294083073","convomf"
"1912495191405261201","Wed Apr 16 13:16:00 +0000 2025","1113"," mau liat layout sec acc ig kalian dong boleh bionya atau highlightnyaa buat referensi xiexie","1912495191405261201","","","in","","123","229","50","https://x.com/convomf/status/1912495191405261201","1314975287294083073","convomf"
"1912775575015493811","Thu Apr 17 07:50:09 +0000 2025","101"," siapa yang pernah digiin ortu https://t.co/BszPrV1z9E","1912775575015493811","https://pbs.twimg.com/media/GouLP6QWcAAbbCZ.png","","in","","6","19","3","https://x.com/convomf/status/1912775575015493811","1314975287294083073","convomf"
"1912567951795908822","Wed Apr 16 18:05:08 +0000 2025","892"," Menurut kalian gue harus gmn? https://t.co/EhYsmxir52","1912567951795908822","https://pbs.twimg.com/media/GorOaoaWwAANNFm.jpg","","in","","146","290","16","https://x.com/convomf/status/1912567951795908822","1314975287294083073","convomf"
"1912728010400391247","Thu Apr 17 04:41:09 +0000 2025","250"," kalian yg udah di fase gaada notif dari siapapun ngapain aja biar ga bosen? aku udah nonton film cari kesibukan lain pun tetep bosen saran dongg ","1912728010400391247","","","in","","36","160","21","https://x.com/convomf/status/1912728010400391247","1314975287294083073","convomf"
"1912076186014069089","Tue Apr 15 09:31:02 +0000 2025","4489"," SS CHAT GEMAS DARI PACARMU ITU DONG PENGEN LIAT YANG GEMAS2","1912076186014069089","","","in","","918","1097","179","https://x.com/convomf/status/1912076186014069089","1314975287294083073","convomf"
"1912559399346094288","Wed Apr 16 17:31:09 +0000 2025","785"," pacar bilang love you sih udah biasa","1912559399346094288","","","in","","82","205","27","https://x.com/convomf/status/1912559399346094288","1314975287294083073","convomf"
