"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1910717009689505916","Sat Apr 12 02:58:11 +0000 2025","10968","@convomf Cowo yg bilang Kalo gada cowo siapa yg lindungin perempuan? MANN LOOK AT THIS THEY'RE HER FAMILY HER CLOSEST FAMILY beneran gada tempat aman buat perempuan bahkan di dalem rumah ","1910890160100978884","","convomf","in","Indonesia","34","24","1187","https://x.com/Spinaischiadica/status/1910890160100978884","1527834469024968704","Spinaischiadica"
"1910717009689505916","Fri Apr 11 16:58:23 +0000 2025","10635","@convomf Kasus ini nunjukin bahwa pemerkosaan bukan soal pakaian tempat waktu atau kurangnya penerapan syariat agama. Anak 5 tahun di rumah sama mahram sendiri. Kalo masih ada yg nyalahin korban jahit aja mulutnya. Karena udah ga ada akal sehat yg bisa diajak bicara.","1910739214406476159","","convomf","in","","10","11","1175","https://x.com/thumbprintco/status/1910739214406476159","1399086277014654977","thumbprintco"
"1910717009689505916","Sat Apr 12 05:14:10 +0000 2025","7513","@convomf Di rumah diperkosa bapak Di sekolah diperkosa guru Di pesantren diperkosa ustad Di jalan diperkosa preman Lapor Polisi diperkosa polisi Negara ini bahaya untuk perempuan","1910924380559057382","","convomf","in","","30","35","821","https://x.com/RM5_bellingham/status/1910924380559057382","3167728239","RM5_bellingham"
"1910717009689505916","Sat Apr 12 00:43:24 +0000 2025","2868","@convomf kapan sih indo punya kebijakan hukum mati buat pemerkosa sm pedo minimal hukumannya yg berat lahh bukan cuma penjara negara gini amat cokk dari dlu kasus pemerkosaan kok kek nggk ditanggepi secara serius taikkk","1910856240650990010","","convomf","in","dunia ke2","4","11","225","https://x.com/pahawangywangy/status/1910856240650990010","1401504650394701826","pahawangywangy"
"1910717009689505916","Fri Apr 11 16:03:15 +0000 2025","1741","@convomf Mereka tinggal ber 4 (bapak kakek nenek). Makin sedihnya kejadiannya diduga kuat terjadi beberapa waktu setelah neneknya meninggal dunia. Makhluk macam apa coba mereka. Btw ini bapak dan pamannya setelah dibotakin + pake baju sopi https://t.co/IyIbDF3dUd","1910725339158086053","https://pbs.twimg.com/media/GoRCkgHbYAArMvK.jpg","convomf","in","","15","26","60","https://x.com/bremsekkk/status/1910725339158086053","1821516986645688320","bremsekkk"
"1910717009689505916","Sat Apr 12 15:52:16 +0000 2025","1345","@convomf pick me mom im scared https://t.co/Dd638g5JGh","1911084963329630406","https://pbs.twimg.com/media/GoWJpYAWQAAxQdx.jpg","convomf","en","","1","1","149","https://x.com/carlyleraven/status/1911084963329630406","1367688053423104003","carlyleraven"
"1910717009689505916","Fri Apr 11 15:56:02 +0000 2025","999","@convomf ANJING?????BANGSAT?????GAK NGOTAK BANGET GILA SEMUA DAH. GAK USAH DI SENSOR MUKA BEJAT KAYAK GINI. ITU KELUARGA LO SENDIRI BEGO ANAK KECIL LAGI. NGOTAK NGAPA NGOTAK. OON DAHHH TOLOL BANGET BANGET MEREKA. BUKANNYA DIJAGAIN MALAH DIRUSAK. https://t.co/V0rXdnP2xV","1910723523112571198","https://pbs.twimg.com/media/GoRA6dPbYAcv7vE.jpg","convomf","in","Saturnus","0","1","60","https://x.com/perslopmusandi/status/1910723523112571198","1246035088036335618","perslopmusandi"
"1910717009689505916","Sat Apr 12 13:42:42 +0000 2025","674","@convomf https://t.co/Tnwes5NpuG","1911052359993839721","https://pbs.twimg.com/media/GoVr_kbW4AA_M-n.jpg","convomf","qme","","1","0","69","https://x.com/mootebluu/status/1911052359993839721","958826238281359360","mootebluu"
"1910717009689505916","Fri Apr 11 17:11:14 +0000 2025","711","@convomf Kenapa mukanya disensor? kayaknya kita harus nerapin klo muka-muka penjahat itu ga perlu disensor biar dunia tau muka-muka orang jahat ini dan klo nanti setelah keluar dari penjara mereka akan dapet sanksi sosial dibully seumur hidup sampai mereka ngerasa klo lebih baik mati","1910742449703866813","","convomf","in","tomosaki","0","0","39","https://x.com/hkgcszgjkxv/status/1910742449703866813","1892266378075525120","hkgcszgjkxv"
"1910717009689505916","Sat Apr 12 05:49:31 +0000 2025","597","@convomf https://t.co/9UzWsAzsZa","1910933279630373246","https://pbs.twimg.com/media/GoT_sL3X0AArv1K.jpg","convomf","qme","","0","0","43","https://x.com/ayyaa_22/status/1910933279630373246","1720098854648020992","ayyaa_22"
